,,,,日本全国沿岸水温の記録（第20号）,,,,,,,,
愛知（南知多）,,,,　　     平成25年(2013)水温観測結果,,,,,,,,
,,,,前浜の水深７～８ｍの取水を測温：午前10時測定,,,,,,,,単位：℃
,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
１日,10.6,9.3,9.2,11.9,15.6,21.2,24,25.6,27.2,24.1,20.8,16.1
２日,10.8,9.4,9,12,15.3,21.1,24.2,25.7,27.1,24.4,20.5,15.9
３日,10.6,9.7,8.9,12.3,15.5,21.2,24.3,25.6,27,24.3,20.4,15.8
４日,10.7,9.6,9,12.6,15.3,21.6,24.1,25.6,27,24.1,20.3,15.6
５日,10.5,9.6,9.1,13,16.3,21.9,23.9,26,26.8,24,20.6,15.7
６日,10,9.6,9.1,13.6,16.6,22,24.1,26.6,26.5,24,20.6,15.6
７日,10.7,9.6,9.4,13.9,16.7,21.8,24.5,26.4,25.9,24.4,20.1,15.5
８日,10.8,9.3,10.1,13.9,16.5,21.5,24.5,26.4,26.1,24.4,20.6,15.4
９日,10.6,9.5,10,13.8,16.4,21.5,25,26.5,25.9,24.3,20,15.4
１０日,10.2,9.3,10.3,13.6,16.6,22.1,25.6,26.8,25.4,24.5,19.9,15.3
１１日,10.2,9,9.3,13.6,17,22.2,25.6,26.3,25.5,24.7,19.6,15.2
１２日,10.2,9.3,10.5,13.6,17,22.3,25.5,26.3,25.6,24.8,19.6,14.8
１３日,10.2,9.4,10.1,13.6,17.5,22.4,25.5,25.9,25.8,24.6,19.5,14.9
１４日,10.2,9.4,10.4,14.1,18.1,23,25.3,26.1,25.5,24.2,19.5,14.7
１５日,10.1,9.2,10.6,14.6,18.4,23.3,25,26.5,25.5,23.9,19.1,14.4
１６日,9.9,9.3,,14.6,18.7,23.6,24.9,27,25.7,23.4,18.9,14.1
１７日,10.1,9,,14.9,19.1,23.9,25,27.2,25.5,22.7,18.7,13.8
１８日,9.7,8.4,10.7,15.2,18.9,24.4,25.8,27.6,25.2,22.6,18.5,13.2
１９日,9.6,8.7,11.4,15.5,19.5,24.8,25.9,27.8,25.6,21.9,18.3,13.3
２０日,9.2,8.7,10.7,15.1,19.4,24.2,25.9,27.9,25.4,22,18.1,13.5
２１日,9.3,8.6,11.3,15,19.5,23.4,25.9,28.2,25.4,22,17.4,13.2
２２日,9.5,8.4,11.6,14.8,20.2,23.1,25.6,27.9,25.4,21.8,16.9,13.1
２３日,9.4,8.5,11,14.8,20.6,23.1,25.5,27.6,25.6,21.5,16.7,13.2
２４日,9.6,8.5,11,14.7,20.9,22.6,25.3,27.3,25.7,21.6,16.9,13.1
２５日,9.4,8.3,11.3,14.7,20,23,24.8,27.1,25.6,21.6,16.9,13.1
２６日,9.3,8.5,11.3,14.9,20.3,23.8,25.1,26.5,25.4,21.5,16.7,13
２７日,9.2,8.6,11.1,15,20.9,23.4,25.6,25.8,25.1,21.4,16.7,13
２８日,8.6,9.4,11.3,14.9,20.6,23.1,25.1,25.6,25,21.4,16.6,
２９日,8.6,,11.8,15,20.4,23,25.8,25.5,24.1,21.2,16.4,
３０日,8.8,,11.6,15.6,20.3,23.6,25.6,26.1,24,21.2,16.4,12.8
３１日,9.1,,11.7,,20.2,,25.2,26.6,,20.8,,12.4
